Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Latitude,Longitude
1831091,"October 22, 2020",Maryland,Baltimore,500 block of W Franklin St,0,4,39.2949333,-76.62278119999999
1830875,"October 21, 2020",New York,Brooklyn,Nostrand Ave and Hawthorne St,1,5,40.6578436,-73.9503282
1830822,"October 21, 2020",Mississippi,Canton,1427 W Peace St,2,2,32.6069372,-90.06547669999999
1830092,"October 20, 2020",Texas,Houston,2117 Chenevert St,3,1,29.7439049,-95.3645547
1829132,"October 19, 2020",Ohio,Mansfield,136 Sturges Ave,0,5,40.7550142,-82.5242701
1828796,"October 19, 2020",Louisiana,New Orleans,2599 N Prieur St,1,3,29.9773582,-90.04786000000001
1827437,"October 18, 2020",Maryland,Annapolis,100 block of Clay St,1,3,38.9798492,-76.49833799999999
1828080,"October 18, 2020",Illinois,Chicago,200 block of N Sacramento Blvd,1,4,41.8841388,-87.7012881
1828019,"October 18, 2020",Tennessee,Nashville,1100 block of W Grove Ave,0,4,36.13501480000001,-86.78715559999999
1826680,"October 17, 2020",New York,Lockport,43 S Niagara St,1,5,43.1703139,-78.70837
1826613,"October 17, 2020",South Carolina,Rock Hill,524 N Anderson Rd,0,5,34.9505442,-80.9972727
1826444,"October 16, 2020",California,San Jose,175 S Capitol Ave,2,4,37.3595993,-121.8337211
1825525,"October 16, 2020",Florida,Orlando,2000 block of N Forsyth Rd,3,1,28.572415,-81.296269
1826655,"October 16, 2020",Arizona,Mesa,2115 Guadalupe Rd,1,6,33.3626859,-111.8788899
1826675,"October 16, 2020",California,San Francisco,200 block of Scherwin St,1,3,37.71075099999999,-122.4114918
1824979,"October 15, 2020",Louisiana,Lafayette,100 block of Laser Ln,2,2,30.2708082,-92.03243289999999
1825896,"October 15, 2020",Maryland,Baltimore,2900 block of Westwood Ave,0,7,39.3082826,-76.6662487
1824073,"October 14, 2020",Pennsylvania,Philadelphia,3900 block of  Buist Ave,0,4,39.9248696,-75.2218134
1821574,"October 12, 2020",South Carolina,Myrtle Beach,1012 US-501,2,3,33.6968749,-78.8933481
1821496,"October 11, 2020",Georgia,Atlanta,330 W Peachtree St NW,0,4,33.7635246,-84.38701689999999
1820156,"October 10, 2020",Illinois,Chicago,100 block of S Keeler Ave,1,3,41.87970139999999,-87.7305298
1823101,"October 10, 2020",South Carolina,Kingstree,55 Williamsburg County Hwy,0,8,33.685299,-79.8225394
1819955,"October 10, 2020",Missouri,Saint Louis (Jennings),8800 block of Shannon Fox Cir,2,2,38.731854,-90.2571711
1818055,"October 8, 2020",Pennsylvania,Philadelphia,4935 Frankford Ave,1,6,40.0197345,-75.0806597
1816799,"October 7, 2020",Alaska,Anchorage,200 block of McCarrey St,1,4,61.2227728,-149.7922144
1817184,"October 7, 2020",New York,Brooklyn,181 Hegeman Ave,1,3,40.656795,-73.905198
1815308,"October 5, 2020",District of Columbia,Washington,400 block of Orange St SE,1,3,38.8468533,-77.00375989999999
1813872,"October 4, 2020",Indiana,Indianapolis,5462 Massachusetts Ave,3,4,39.81531469999999,-86.074539
1814148,"October 4, 2020",Georgia,Atlanta,1570 Joseph E Boone Blvd NW,1,5,33.7633398,-84.4391512
1813306,"October 3, 2020",Tennessee,Clarksville,100 block of Tiny Town Rd,0,5,36.630545,-87.4330284
1813583,"October 3, 2020",California,Sacramento,Roanoke Ave and Haywood St,1,3,38.6348089,-121.4405959
1812972,"October 2, 2020",California,Los Angeles,51st St and Hoover St,0,4,33.9964453,-118.287144
1812838,"October 2, 2020",Washington,Seattle,9700 block of 59th Ave S,0,4,47.5152004,-122.2593323
1812049,"October 1, 2020",Michigan,Detroit,15018 Houston Whittier St,0,5,42.42055630000001,-82.96708389999999
1810696,"September 30, 2020",North Carolina,Greensboro,700 block of Milton St,0,4,36.0676499,-79.8255839
1810881,"September 30, 2020",Florida,Jacksonville,12517 Beach Blvd,0,4,30.2878725,-81.49183909999999
1810358,"September 30, 2020",Wisconsin,Milwaukee,4217 W Fond du Lac Ave,0,7,43.0815369,-87.96613719999999
1809910,"September 29, 2020",Pennsylvania,Philadelphia,4500 block of N 19th St,0,5,40.022633,-75.15672400000001
1809484,"September 29, 2020",Ohio,Painesville,100 block of Morse Ave,2,2,41.7235173,-81.25064490000001
1807325,"September 28, 2020",Michigan,Detroit,6609 Michigan Ave,0,6,42.3309109,-83.1248147
1806806,"September 27, 2020",Ohio,Sandusky,Hancock St and Neil St,1,3,41.4489119,-82.70353
1808628,"September 27, 2020",California,San Bernardino,900 block of N Sierra Way,1,3,34.1161404,-117.2856434
1807096,"September 27, 2020",Tennessee,Nashville,619 Millwood Dr,0,4,36.1297253,-86.7146289
1807046,"September 26, 2020",Pennsylvania,Philadelphia,100 block of N Lindenwood St,0,4,39.961748,-75.22585169999999
1806035,"September 26, 2020",Alabama,Enterprise,507 Glover Ave,1,3,31.3196472,-85.8474439
1806002,"September 26, 2020",Iowa,Waterloo,501 W 4th St,2,6,42.4925036,-92.34246499999999
